 LoadAll, Departing,CaptureDate,sailingTime,dayofWeek,DoW,MonthName,MonthNumber
56,LNG,2017-02-16,1445,4,Thu,Feb,2
37,LNG,2017-02-16,1545,4,Thu,Feb,2
49,LNG,2017-02-16,1650,4,Thu,Feb,2
30,LNG,2017-02-16,1750,4,Thu,Feb,2
40,LNG,2017-02-16,1850,4,Thu,Feb,2
13,LNG,2017-02-16,1950,4,Thu,Feb,2
13,LNG,2017-02-16,2045,4,Thu,Feb,2
54,LNG,2017-02-17,620,5,Fri,Feb,2
31,LNG,2017-02-17,720,5,Fri,Feb,2
91,LNG,2017-02-17,825,5,Fri,Feb,2
48,LNG,2017-02-17,925,5,Fri,Feb,2
80,LNG,2017-02-17,1025,5,Fri,Feb,2
46,LNG,2017-02-17,1125,5,Fri,Feb,2
74,LNG,2017-02-17,1235,5,Fri,Feb,2
60,LNG,2017-02-17,1335,5,Fri,Feb,2
54,LNG,2017-02-17,1445,5,Fri,Feb,2
55,LNG,2017-02-17,1545,5,Fri,Feb,2
47,LNG,2017-02-17,1650,5,Fri,Feb,2
43,LNG,2017-02-17,1750,5,Fri,Feb,2
38,LNG,2017-02-17,1850,5,Fri,Feb,2
13,LNG,2017-02-17,1950,5,Fri,Feb,2
15,LNG,2017-02-17,2045,5,Fri,Feb,2
34,LNG,2017-02-18,620,6,Sat,Feb,2
37,LNG,2017-02-18,720,6,Sat,Feb,2
0,LNG,2017-02-18,825,6,Sat,Feb,2
1,LNG,2017-02-18,925,6,Sat,Feb,2
100,LNG,2017-02-18,1025,6,Sat,Feb,2
3,LNG,2017-02-18,1125,6,Sat,Feb,2
1,LNG,2017-02-18,1235,6,Sat,Feb,2
43,LNG,2017-02-18,1545,6,Sat,Feb,2
0,LNG,2017-02-18,1650,6,Sat,Feb,2
45,LNG,2017-02-18,1750,6,Sat,Feb,2
37,LNG,2017-02-18,1850,6,Sat,Feb,2
26,LNG,2017-02-18,1950,6,Sat,Feb,2
1,LNG,2017-02-18,2045,6,Sat,Feb,2
54,LNG,2017-02-19,825,0,Sun,Feb,2
2,LNG,2017-02-19,925,0,Sun,Feb,2
97,LNG,2017-02-19,1025,0,Sun,Feb,2
80,LNG,2017-02-19,1125,0,Sun,Feb,2
96,LNG,2017-02-19,1235,0,Sun,Feb,2
6,LNG,2017-02-19,1335,0,Sun,Feb,2
12,LNG,2017-02-19,1445,0,Sun,Feb,2
12,LNG,2017-02-19,1545,0,Sun,Feb,2
61,LNG,2017-02-06,825,1,Mon,Feb,2
42,LNG,2017-02-06,925,1,Mon,Feb,2
48,LNG,2017-02-06,1025,1,Mon,Feb,2
31,LNG,2017-02-06,1125,1,Mon,Feb,2
61,LNG,2017-02-06,1235,1,Mon,Feb,2
36,LNG,2017-02-06,1335,1,Mon,Feb,2
39,LNG,2017-02-06,1445,1,Mon,Feb,2
3,LNG,2017-02-06,1545,1,Mon,Feb,2
21,LNG,2017-02-06,1650,1,Mon,Feb,2
20,LNG,2017-02-06,1750,1,Mon,Feb,2
26,LNG,2017-02-06,1850,1,Mon,Feb,2
15,LNG,2017-02-06,1950,1,Mon,Feb,2
8,LNG,2017-02-06,2045,1,Mon,Feb,2
61,LNG,2017-02-07,620,2,Tue,Feb,2
26,LNG,2017-02-07,720,2,Tue,Feb,2
69,LNG,2017-02-07,825,2,Tue,Feb,2
35,LNG,2017-02-07,925,2,Tue,Feb,2
56,LNG,2017-02-07,1025,2,Tue,Feb,2
33,LNG,2017-02-07,1125,2,Tue,Feb,2
56,LNG,2017-02-07,1235,2,Tue,Feb,2
41,LNG,2017-02-07,1335,2,Tue,Feb,2
32,LNG,2017-02-07,1445,2,Tue,Feb,2
43,LNG,2017-02-07,1545,2,Tue,Feb,2
28,LNG,2017-02-07,1650,2,Tue,Feb,2
9,LNG,2017-02-07,1750,2,Tue,Feb,2
25,LNG,2017-02-07,1850,2,Tue,Feb,2
8,LNG,2017-02-07,1950,2,Tue,Feb,2
10,LNG,2017-02-07,2045,2,Tue,Feb,2
51,LNG,2017-02-08,620,3,Wed,Feb,2
27,LNG,2017-02-08,720,3,Wed,Feb,2
73,LNG,2017-02-08,825,3,Wed,Feb,2
40,LNG,2017-02-08,925,3,Wed,Feb,2
55,LNG,2017-02-08,1025,3,Wed,Feb,2
40,LNG,2017-02-08,1125,3,Wed,Feb,2
57,LNG,2017-02-08,1235,3,Wed,Feb,2
39,LNG,2017-02-08,1335,3,Wed,Feb,2
33,LNG,2017-02-08,1445,3,Wed,Feb,2
29,LNG,2017-02-08,1545,3,Wed,Feb,2
18,LNG,2017-02-08,1650,3,Wed,Feb,2
23,LNG,2017-02-08,1750,3,Wed,Feb,2
18,LNG,2017-02-08,1850,3,Wed,Feb,2
15,LNG,2017-02-08,1950,3,Wed,Feb,2
5,LNG,2017-02-08,2045,3,Wed,Feb,2
27,LNG,2017-02-09,620,4,Thu,Feb,2
22,LNG,2017-02-09,720,4,Thu,Feb,2
40,LNG,2017-02-09,825,4,Thu,Feb,2
28,LNG,2017-02-09,925,4,Thu,Feb,2
42,LNG,2017-02-09,1025,4,Thu,Feb,2
51,LNG,2017-02-09,1125,4,Thu,Feb,2
75,LNG,2017-02-09,1235,4,Thu,Feb,2
35,LNG,2017-02-09,1335,4,Thu,Feb,2
47,LNG,2017-02-09,1445,4,Thu,Feb,2
35,LNG,2017-02-09,1545,4,Thu,Feb,2
37,LNG,2017-02-09,1650,4,Thu,Feb,2
27,LNG,2017-02-09,1750,4,Thu,Feb,2
26,LNG,2017-02-09,1850,4,Thu,Feb,2
6,LNG,2017-02-09,1950,4,Thu,Feb,2
8,LNG,2017-02-09,2045,4,Thu,Feb,2
